,Quarter ended,,
,"Dec 31, 2023","Sep 30, 2023","Dec 31, 2022"
Effort,,,
Onsite,24.4,24.6,24.5
Offshore,75.6,75.4,75.5
Utilization,,,
Including trainees,81.7,80.4,77.1
Excluding trainees,82.7,81.8,81.7
